Name,Down,Up
WhiteSpace,470000,710000
A700,710000,714000
B,806000,810000
A1240,1240000,1252000
A1260,1253000,1260000
DECT,1895600,1902500
C,322025,322150
C,322250,322400
B11,806000,806250
B12,806250,806500
B13,807000,807250
B14,805625,807875
B15,808875,809125
B16,809375,809625
B21,806125,806375
B22,806375,806625
B23,806875,807125
B24,807750,808000
B25,808375,808625
B26,808750,809000
B31,806500,806750
B32,806750,807000
B33,807250,807500
B34,808125,808375
B35,808500,808750
B36,809125,809375
B41,806625,806875
B42,807375,807625
B43,807875,808125
B44,809000,809250
B45,809250,809500
B46,809625,809875
B51,807500,807750
B52,808000,808250
B53,808250,808500
B54,808625,808875
B55,809500,809750
B61,807125,807375